eid,ename,ephone
1,Itay Levi,997165078
2,Yosef Levi,834131556
3,Shira Peretz,840037979
4,Omer Gabbay,263605524
5,Yosef Segal,588947125
6,Miriam Malka,570938121
7,Yonatan Shimon,675427395
8,Omer Malka,258501773
9,Shira Tzadok,231107455
10,Natan Cohen,304562962
11,Miriam Peretz,933577685
12,Esther Ezra,944892646
13,Eli Dayan,923823753
14,Natan Gabbay,987896674
15,Rachel Tzadok,673026798
16,Avigail Malka,920627845
17,Daniel Peretz,279674217
18,Omer Tzadok,510150379
19,Shira Segal,389531422
20,Omer Peretz,247846207
21,David Shalom,791401977
22,Shira Rahmani,694596695
23,David Gabbay,946926742
24,Eli Shapira,784517209
25,Natan Biton,199064749
26,Avigail Peretz,564968742
27,Esther Gabbay,985374620
28,Eli Katz,194037284
29,Daniel Biton,410138935
30,Tamar Gabbay,931265314
31,Itay Katz,253873374
32,Yosef Peretz,958472735
33,Yael Shapira,628099205
34,Itay Shimon,964774705
35,Sarah Cohen,896259772
36,Miriam Cohen,508136194
37,Avigail Shalom,841827492
38,Shira Ezra,662882595
39,Itay Malka,708064829
40,Natan Avraham,956623785
41,Esther Rahmani,908295729
42,Esther Mizrahi,154858879
43,Yosef Shapira,608461536
44,Noa Katz,216003269
45,Tamar Tzadok,730807404
46,Miriam Tamir,106068783
47,Yosef Biton,764306543
48,Sarah Gabbay,911367934
49,Rachel Cohen,156082031
50,Yael Avraham,127001137
51,Rachel Shapira,591177885
52,Yonatan Katz,340027958
53,Yael Katz,161660686
54,Leah Peretz,615688646
55,Miriam Baruch,716808362
56,Yonatan Peretz,879764757
57,Esther Dayan,754777274
58,Sarah Segal,817661137
59,Noa Peretz,569099204
60,Avigail Segal,889805742
61,Avigail Shimon,146708833
62,Esther Malka,177048566
63,Natan Rahmani,392314754
64,Sarah Mizrahi,260324846
65,Eli Shalom,509292558
66,Yael Cohen,791654523
67,Leah Avraham,980898674
68,Moshe Mizrahi,846268292
69,Miriam Sharabi,504256813
70,Omer Shalom,618545959
71,Aharon Baruch,477081444
72,Daniel Cohen,621905857
73,Yonatan Tamir,749629018
74,Natan Shimon,589843180
75,Noa Avraham,463872327
76,Natan Malka,675668214
77,Miriam Rahmani,750775001
78,Itay Tzadok,841980375
79,Omer Levi,388757797
80,Eli Levi,991869176
81,Yael Baruch,434628661
82,Yonatan Segal,953837535
83,Omer Tamir,829218040
84,Eli Rahmani,787573007
85,Moshe Tzadok,506090811
86,Shira Avraham,663610070
87,Sarah Rahmani,377918013
88,Natan Ezra,157077049
89,Eli Mizrahi,736282429
90,Yosef Ezra,797621136
91,Yosef Shalom,548618467
92,Sarah Tamir,468761989
